@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
78,'2023/12/10 22:36:42:275',2,-0.019697,-0.034206,-0.056414,-0.222136,0.106361,0.139392,1.384191,-2.889467,-2.429875,?
79,'2023/12/10 22:36:42:305',2,-0.061702,0.000102,-0.020552,-0.126087,0.120723,-0.046854,1.389145,-2.87016,-2.446555,?
80,'2023/12/10 22:36:43:751',3,0.170222,-0.186444,-0.666348,1.174223,-0.333618,0.552459,-0.123557,0.192892,0.961123,?
81,'2023/12/10 22:36:43:783',3,0.144205,-0.11829,-0.716743,1.865218,-0.627382,0.747093,-0.067376,0.176754,0.974287,?
82,'2023/12/10 22:36:43:830',3,0.050604,-0.044691,-0.593457,2.279471,-0.482886,0.655765,-0.002592,0.158896,0.985274,?
83,'2023/12/10 22:36:43:845',3,-0.076907,0.055655,-0.452871,2.797096,0.539763,0.363889,0.08778,0.160207,0.989004,?
84,'2023/12/10 22:36:43:879',3,-0.043855,0.165015,-0.246173,2.769597,0.328144,0.21862,0.186076,0.178813,0.981593,?
85,'2023/12/10 22:36:43:908',3,0.172307,0.16569,-0.194933,2.562286,-0.348304,0.566161,0.279562,0.179472,0.977038,?
86,'2023/12/10 22:36:43:941',3,0.10854,0.211293,-0.309673,2.677339,-0.226059,0.763572,0.359196,0.166376,0.984433,?
87,'2023/12/10 22:36:43:987',3,-0.062853,0.304984,-0.361835,3.068886,0.195459,0.49787,0.461327,0.163566,0.991705,?
88,'2023/12/10 22:36:44:019',3,0.077688,0.372779,-0.144193,3.079997,-0.198917,0.650116,0.572142,0.166371,0.990984,?
89,'2023/12/10 22:36:44:051',3,-0.021819,0.378714,-0.161687,2.926464,-0.434089,0.792781,0.663175,0.149024,1.001431,?
90,'2023/12/10 22:36:44:082',3,-0.032255,0.406116,-0.183763,3.130097,-0.241495,0.704243,0.770665,0.128341,1.015633,?
91,'2023/12/10 22:36:44:113',3,-0.172928,0.433057,0.073724,2.778221,-0.475807,0.3876,0.877314,0.10782,1.027935,?
92,'2023/12/10 22:36:44:179',3,-0.072514,0.419029,-0.019953,2.702399,-0.461308,0.100235,0.971209,0.09384,1.023363,?
93,'2023/12/10 22:36:44:179',3,-0.004742,0.391675,0.05801,2.584305,-0.151519,0.114993,1.050287,0.090968,1.015627,?
94,'2023/12/10 22:36:44:208',3,0.00077,0.369262,0.110405,2.295806,-0.346119,0.169808,1.136207,0.091583,1.008963,?
95,'2023/12/10 22:36:44:240',3,-0.003301,0.318843,0.011835,2.059918,-0.65019,0.188814,1.210656,0.070651,1.010168,?
96,'2023/12/10 22:36:44:287',3,0.001887,0.295281,-0.052307,2.139123,-0.370764,0.179103,1.273575,0.049116,1.016415,?
97,'2023/12/10 22:36:44:319',3,0.02449,0.306858,0.066779,2.053317,-0.240805,0.253561,1.349322,0.022647,1.032704,?
